Chave do item;ID do item;Resumo;Situação;Componente(s);Componente(s);Componente(s);Campo personalizado (Valor Inicial);Campo personalizado (Meta para o Valor);Campo personalizado (Valor Atual);Campo personalizado (Objetivo);Campo personalizado (Resultado Chave);Campo personalizado (Ciclo da Iniciativa);Campo personalizado (Check In);Campo personalizado (Completude);Campo personalizado (Lista de céulas OKRs);Campo personalizado (Observação para PI Planning);Campo personalizado (Quando Será Medido?);Campo personalizado (Transbordo);Rótulos;Rótulos;Campo personalizado (% Avanço);Campo personalizado (Empresa BS);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate)
SGTIJIRA01-51087;714031;"OKR1.1 Aprimorar a experiência dos segurados por meio da digitalização e automação dos canais, proporcionando mais autonomia, agilidade e eficiência operacional";Em Progresso;PI#7BAR;PI#8BAR;;67.0;90;78;"O1 Aprimorar a experiência dos segurados por meio da digitalização e automação dos canais, proporcionando mais autonomia, agilidade e eficiência operacional";KR1.1 Garantir que 90% dos clientes inadimplentes recebam comunicação sobre seu status;Ciclo 2025;1;;"BAR Novo Site do Segurado - Versão Logada
BAR Jornada de Comunicação
BAR Melhorias Operacionais de Vistoria Prévia e Inspeção de Risco
BAR Aplicativo Bradesco Seguros Cliente - Funcionalidades Bare
BAR Navegação Contextual
BAR Run The Business Operações
BAR IA Generativa no suporte a corretores BARE";;Medição ao final do 4º trim;Não;VS_Canais_Atendimento_Suporte;;48.0;BARE;SGTIJIRA01-51097;SGTIJIRA01-51096;;;;;;;;;;;;;;;;;;;SGTIJIRA01-51623;SGTIJIRA01-51624;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-50960;691717;"OKR1.3 Desenvolver a contratação de produtos da seguradora para os correntistas Bradesco através da ampliação da oferta de produtos e serviços, realizando a melhoria das jornadas já existentes em seguros";Em Progresso;PI#3DIG;PI#4DIG;PI#5DIG;0.0;20;18;"O1 Desenvolver a contratação de produtos da seguradora para os correntistas Bradesco através da ampliação da oferta de produtos e serviços, realizando a melhoria das jornadas já existentes em seguros promovendo assim a autonomia do cliente e gerando aumento de conversão de vendas";KR1.3 Implantar 20 melhorias e ou novos serviços de pré e pós vendas;Ciclo 2025;1;;;;Medição ao final do 4º trim;;VS_Vendas_Bancassurance;;90.0;Digital;SGTIJIRA01-53947;;;;;;;;;;;;;;;;;;;;SGTIJIRA01-50204;SGTIJIRA01-50201;SGTIJIRA01-51306;SGTIJIRA01-50203;SGTIJIRA01-51305;SGTIJIRA01-50205;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-50959;691713;"OKR1.2 Desenvolver a contratação de produtos da seguradora para os correntistas Bradesco através da ampliação da oferta de produtos e serviços, realizando a melhoria das jornadas já existentes em seguros";Em Progresso;PI#3DIG;;;0.0;12;0;"O1 Desenvolver a contratação de produtos da seguradora para os correntistas Bradesco através da ampliação da oferta de produtos e serviços, realizando a melhoria das jornadas já existentes em seguros promovendo assim a autonomia do cliente e gerando aumento de conversão de vendas";KR1.2 Implantar 12 novas jornadas de contratação/ campanha  em 2025;Ciclo 2025;;;;;;;VS_Vendas_Bancassurance;;0.0;Digital;SGTIJIRA01-50202;;;;;;;;;;;;;;;;;;;;SGTIJIRA01-58351;;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-50958;691702;"OKR1.1 Desenvolver a contratação de produtos da seguradora para os correntistas Bradesco através da ampliação da oferta de produtos e serviços, realizando a melhoria das jornadas já existentes em seguros";Em Progresso;PI#3DIG;PI#4DIG;PI#5DIG;9.0;9;10.3;"O1 Desenvolver a contratação de produtos da seguradora para os correntistas Bradesco através da ampliação da oferta de produtos e serviços, realizando a melhoria das jornadas já existentes em seguros promovendo assim a autonomia do cliente e gerando aumento de conversão de vendas";KR1.1 Manter 9% a participação de canais digitais no resultado de vendas dos produtos de seguros e previdência;Ciclo 2025;1;;;;Medição ao final do 4º trim;Sim;VS_Vendas_Bancassurance;;100.0;Digital;SGTIJIRA01-50200;SGTIJIRA01-53814;SGTIJIRA01-53815;;;;;;;;;;;;;;;;;;SGTIJIRA01-51304;SGTIJIRA01-51303;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-50757;636259;"OKR1.2 Fomentar iniciativas com foco na monetização do Open Insurance, garantindo a manutenção, aderência à regulamentação vigente e proporcionando a melhor experiência para os clientes";Em Progresso;PI#3DIG;PI#4DIG;PI#5DIG;0.0;1000;498;"O1 Fomentar iniciativas com foco na monetização do Open Insurance, garantindo a manutenção, aderência à regulamentação vigente e proporcionando a melhor experiência para os clientes";KR1.2 Atingir 1K consentimentos recebidos novos do Open Insurance até dezembro de 2025;Ciclo 2025;;;;;Medição ao final do 4º trim;;VS_OPIN;;50.0;Digital;SGTIJIRA01-50239;SGTIJIRA01-50240;;;;;;;;;;;;;;;;;;;SGTIJIRA01-51274;SGTIJIRA01-58129;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-50756;636254;"OKR1.1 Fomentar iniciativas com foco na monetização do Open Insurance, garantindo a manutenção, aderência à regulamentação vigente e proporcionando a melhor experiência para os clientes";FINALIZADO;PI#3DIG;PI#4DIG;PI#5DIG;0.0;100;100;"O1 Fomentar iniciativas com foco na monetização do Open Insurance, garantindo a manutenção, aderência à regulamentação vigente e proporcionando a melhor experiência para os clientes";KR1.1 Manter 100% da conformidade regulatória do Open Insurance;Ciclo 2025;;Atingiu a Meta;;OKR Estratégica foi finalizada na PI#4;;;VS_OPIN;;100.0;Digital;SGTIJIRA01-50237;SGTIJIRA01-50238;SGTIJIRA01-50251;SGTIJIRA01-51273;;;;;;;;;;;;;;;;;SGTIJIRA01-58192;;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-50715;632751;"OKR2.5 Garantir precisão e eficiência operacional, além de assegurar o cumprimento das obrigações regulatórias.";Em Progresso;PI#7SI;PI#8SI;PI#9SI;35.0;80;69;"O2 Garantir precisão e eficiência operacional, além de assegurar o cumprimento das obrigações regulatórias.";"KR2.5 Aumentar a recepção digital de documentos de 35% para 80% dos prestadores que enviam faturamento eletrônico, ao longo de 2025.";Ciclo 2025;1;;;;Medição ao final do 4º trim;Não;VS_PAGAMENTOS;;76.0;Saúde;SGTIJIRA01-58324;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-50714;632750;OKR2.4.1.2 Melhorar operacionalmente o processo da PSL e mitigar riscos de negócio;FINALIZADO;PI#7SI;;;0.0;3;3;O2.4.1 Melhorar operacionalmente o processo da PSL e mitigar riscos de negócio;KR 2.4.1.2 Atender 3 melhorias de processos PSL;Ciclo 2025;5;Atingiu a Meta;SAU VSSP - PSL;;Medição ao final do 2º trim;Não;VS_PAGAMENTOS;;100.0;Saúde;SGTIJIRA01-50712;;;;;;;;;;;;;;;;;;;;SSAUVSSP00-12353;SSAUVSSP00-12193;SSAUVSSP00-13374;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-50713;632749;OKR2.4.1.1 Melhorar operacionalmente o processo da PSL e mitigar riscos de negócio;FINALIZADO;PI#7SI;;;0.0;1;1;O2.4.1 Melhorar operacionalmente o processo da PSL e mitigar riscos de negócio;KR 2.4.1.1 Atender 1 ponto de inspetoria relativo ao ISS;Ciclo 2025;2;Atingiu a Meta;SAU VSSP - Assertividade de Pagamentos;;Medição ao final do 2º trim;Não;VS_PAGAMENTOS;;100.0;Saúde;SGTIJIRA01-50712;;;;;;;;;;;;;;;;;;;;SSAUVSSP00-12364;;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-50712;632748;"OKR2.4 Garantir precisão e eficiência operacional, além de assegurar o cumprimento das obrigações regulatórias.";Em Progresso;PI#7SI;PI#8SI;PI#9SI;0.0;100;100;"O2 Garantir precisão e eficiência operacional, além de assegurar o cumprimento das obrigações regulatórias.";"KR2.4 Implantar 100% das demandas regulatórias, legais e inspetoria compromissadas.";Ciclo 2025;1;;SAU VSSP - PSL;;Medição ao final do 4º trim;Não;VS_PAGAMENTOS;;100.0;Saúde;SGTIJIRA01-51479;SGTIJIRA01-58274;SGTIJIRA01-58278;SGTIJIRA01-58279;;;;;;;;;;;;;;;;;SGTIJIRA01-50713;SGTIJIRA01-50714;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-50711;632747;"OKR2.3.1.1 Aumentar controle sobre o processo do não referenciado, garantindo análise e pagamento assertivos";FINALIZADO;PI#7SI;PI#8SI;;0.0;33;33;"O2.3.1 Aumentar controle sobre o processo do não referenciado, garantindo análise e pagamento assertivos";KR2.3.1.1 Atingir 33% da adoção da solução do Não Referenciado;Ciclo 2025;9;Atingiu a Meta;SAU VSSP - Pagamento Não Referenciado;;Medição ao final do 2º trim;Sim;VS_PAGAMENTOS;;100.0;Saúde;SGTIJIRA01-50710;SSAUVSSP00-14031;SSAUVSSP00-14032;;;;;;;;;;;;;;;;;;SSAUVSSP00-10800;SSAUVSSP00-14031;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-50710;632746;"OKR2.3 Garantir precisão e eficiência operacional, além de assegurar o cumprimento das obrigações regulatórias.";Em Progresso;PI#7SI;PI#8SI;PI#9SI;0.0;100;0;"O2 Garantir precisão e eficiência operacional, além de assegurar o cumprimento das obrigações regulatórias.";"KR2.3 Implementar uma nova solução sistêmica para 100% das solicitações do Não Referenciado ( Cadastro, triagem e análise)";Ciclo 2025;1;;SAU VSSP - Pagamento Não Referenciado;;Medição ao final do 4º trim;Não;VS_PAGAMENTOS;;0.0;Saúde;SGTIJIRA01-58282;;;;;;;;;;;;;;;;;;;;SGTIJIRA01-50711;;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-50709;632745;OKR2.2.1.1 Melhorar a qualidade da informação enviada a ANS;FINALIZADO;PI#7SI;PI#8SI;;51.0;33;22;O2.2.1 Melhorar a qualidade da informação enviada a ANS;KR2.2.1.1 Reduzir a diferença no valor entre TISS e DIOPS de 51% para 33%;Ciclo 2025;9;Atingiu a Meta;SAU VSSP – Regulatórios;;Medição ao final do 2º trim;Sim;VS_PAGAMENTOS;;100.0;Saúde;SGTIJIRA01-50708;SSAUVSSP00-13972;SSAUVSSP00-13971;SSAUVSSP00-13969;SSAUVSSP00-13974;SSAUVSSP00-13970;;;;;;;;;;;;;;;SSAUVSSP00-4814;;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-50708;632744;"OKR2.2 Garantir precisão e eficiência operacional, além de assegurar o cumprimento das obrigações regulatórias.";Em Progresso;PI#7SI;PI#8SI;PI#9SI;51.0;10;39;"O2 Garantir precisão e eficiência operacional, além de assegurar o cumprimento das obrigações regulatórias.";KR2.2 Reduzir a diferença no valor entre TISS e DIOPS de 51% para 10%.;Ciclo 2025;1;Atingiu Parcialmente a Meta;SAU VSSP – Regulatórios;;Medição ao final do 4º trim;Não;VS_PAGAMENTOS;;29.0;Saúde;SGTIJIRA01-58281;;;;;;;;;;;;;;;;;;;;SGTIJIRA01-50709;;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-50707;632743;OKR2.1.1.1 Aumentar a incorporação de guias TISS;FINALIZADO;PI#7SI;;;93.0;95;95;O2.1.1 Aumentar a incorporação de guias TISS;KR 2.1.1.1 Atingir a taxa de incorporação das guias no Monitoramento TISS de 93% para 95% - média móvel;Ciclo 2025;5;Atingiu a Meta;SAU VSSP – Regulatórios;;Medição ao final do 2º trim;Não;VS_PAGAMENTOS;;100.0;Saúde;SGTIJIRA01-50706;;;;;;;;;;;;;;;;;;;;SSAUVSSP00-11818;SSAUVSSP00-12810;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-50706;632742;"OKR2.1 Garantir precisão e eficiência operacional, além de assegurar o cumprimento das obrigações regulatórias.";Em Progresso;PI#7SI;PI#8SI;PI#9SI;93.0;95;93;"O2 Garantir precisão e eficiência operacional, além de assegurar o cumprimento das obrigações regulatórias.";KR2.1 Atingir a taxa de incorporação das guias no Monitoramento TISS de 93% para 95% - média móvel – ao longo de 2025.;Ciclo 2025;1;;SAU VSSP – Regulatórios;;Medição ao final do 4º trim;Não;VS_PAGAMENTOS;;0.0;Saúde;SGTIJIRA01-58280;;;;;;;;;;;;;;;;;;;;SGTIJIRA01-50707;;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-50705;632741;OKR1.5.1.1 Desenvolver módulos iniciais do Piloto – Modelo de pagamento Capitation;FINALIZADO;PI#7SI;;;0.0;6;4;O1.5.1 Desenvolver módulos iniciais do Piloto – Modelo de pagamento Capitation;KR 1.5.1.1 Entregar 6 de 11 módulos do Piloto do Modelo de Pagamento Capitation;Ciclo 2025;5;Atingiu Parcialmente a Meta;"SAU VSSP - PSL
SAU VSSP - Assertividade de Pagamentos";;Medição ao final do 2º trim;Não;VS_PAGAMENTOS;;67.0;Saúde;SGTIJIRA01-50609;;;;;;;;;;;;;;;;;;;;SSAUVSSP00-12719;SSAUVSSP00-12729;SSAUVSSP00-12910;SSAUVSSP00-12911;SSAUVSSP00-12912;SSAUVSSP00-12740;SSAUVSSP00-12909;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-50703;632739;OKR1.4.1.1 Aumentar a eficiência da reanálise de sinistros.;FINALIZADO;PI#7SI;PI#8SI;PI#9SI;0.0;5;0.3;O1.4.1 Aumentar a eficiência da reanálise de sinistros.;KR1.4.1.1 Automatizar 5% guias de recurso (média mês).;Ciclo 2025;9;Não Atingiu a Meta;SAU VSSP - Automação do Recurso;Desenvolvimento realizado. Monitoramento de resultado.;Medição ao final do 3º trim;Sim;VS_PAGAMENTOS;;3.0;Saúde;SGTIJIRA01-50608;;;;;;;;;;;;;;;;;;;;SSAUVSSP00-11721;SSAUVSSP00-12493;SSAUVSSP00-12558;SSAUVSSP00-12200;SSAUVSSP00-12703;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-50700;632736;OKR1.2.1.2 Viabilizar a migração de prestadores do SSCF para o SCAM;FINALIZADO;PI#7SI;;;0.0;100;100;O1.2.1 Viabilizar a migração de prestadores do SSCF para o SCAM;KR 1.2.1.2 Migrar 100% dos prestadores da região SUL para o SCAM;Ciclo 2025;4;Atingiu a Meta;SAU VSSP - Automação SADT;;Medição ao final do 2º trim;Não;VS_PAGAMENTOS;;100.0;Saúde;SGTIJIRA01-50606;;;;;;;;;;;;;;;;;;;;SSAUVSSP00-12559;;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-50699;632735;OKR1.2.1.1 Viabilizar a migração de prestadores do SSCF para o SCAM;FINALIZADO;PI#7SI;;;0.0;6;6;O1.2.1 Viabilizar a migração de prestadores do SSCF para o SCAM;KR 1.2.1.1 Realizar 6 pontos de adequação do Watson para funcionamento integrado ao SCAM [ajustes MG];Ciclo 2025;5;Atingiu a Meta;SAU VSSP - Automação SADT;;Medição ao final do 2º trim;Não;VS_PAGAMENTOS;;100.0;Saúde;SGTIJIRA01-50606;;;;;;;;;;;;;;;;;;;;SSAUVSSP00-12760;SSAUVSSP00-12376;SSAUVSSP00-11946;SSAUVSSP00-11470;SSAUVSSP00-12755;SSAUVSSP00-11831;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-50697;632733;OKR1.1.1.1 Estruturar a análise automatizada de documentos médicos;FINALIZADO;PI#7SI;;;0.0;100;100;O1.1.1 Estruturar a análise automatizada de documentos médicos;KR 1.1.1.1 Entregar 100% das integrações Bradesco para conexão com produto Xerox;Ciclo 2025;5;Atingiu a Meta;SAU VSSP - Assertividade de Pagamentos;;Medição ao final do 2º trim;Não;VS_PAGAMENTOS;;100.0;Saúde;SGTIJIRA01-50605;;;;;;;;;;;;;;;;;;;;SSAUVSSP00-12573;SSAUVSSP00-12572;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-50692;629693;"OKR1.1.1.2 Automatizar o processo de reembolso, simplificando e acelerando a execução das operações manuais";FINALIZADO;PI#7SI;PI#8SI;;60.0;40;0;"O1.1.1 Automatizar o processo de reembolso, simplificando e acelerando a execução das operações manuais";KR1.1.1.2 Reduzir em 20s cada cadastro de perfil;Ciclo 2025;9;Não Atingiu a Meta;SAU Análise Automatizada;Experiencia Validada. Desenvolvimento a ser realizado na PI#8.;;Não;VS_REEMBOLSO;;0.0;Saúde;SGTIJIRA01-50600;;;;;;;;;;;;;;;;;;;;SSAUSCAM06-9999;;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-50690;629677;OKR1.3.1.2 Aperfeiçoamento de dados divulgados no resultado da busca de rede;FINALIZADO;PI#7SI;;;0.0;100;100;O1.3.1 Aperfeiçoamento de dados divulgados no resultado da busca de rede;"KR 1.3.1.2 Disponibilizar 100% dos prestadores aptos a atender as  novas especialidade para TEA e TGD (musicoterapia, Psicopedagogia e Psicomotricidade) 
";Ciclo 2025;2;Atingiu a Meta;SAU VSRF - Acompanhar Qualidade;;Medição ao final do 2º trim;Não;VS_REFERENCIADO;;100.0;Saúde;SGTIJIRA01-50615;;;;;;;;;;;;;;;;;;;;SSAUVSRF00-5646;;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-50689;629676;OKR1.3.1.1 Aperfeiçoamento de dados divulgados no resultado da busca de rede;FINALIZADO;PI#7SI;;;0.0;100;100;O1.3.1 Aperfeiçoamento de dados divulgados no resultado da busca de rede;"KR 1.3.1.1 Atualizar e exibir 100 % dos descritivos das especialidades e exames na busca por referenciados 
";Ciclo 2025;5;Atingiu a Meta;SAU VSRF - Acompanhar Qualidade;;Medição ao final do 2º trim;Não;VS_REFERENCIADO;;100.0;Saúde;SGTIJIRA01-50615;;;;;;;;;;;;;;;;;;;;SSAUVSRF00-5724;;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-50683;629670;"OKR1.1 Evoluir as jornadas de busca de referenciado orientado a satisfação do cliente e controle de despesas a partir de novas capacidades tecnológicas, viabilizar a evolução da arquitetura tecnológica da gestão de rede.";Cancelado;PI#7SI;PI#8SI;;0.0;100;0;"O1 Evoluir as jornadas de busca de referenciado orientado a satisfação do cliente e controle de despesas a partir de novas capacidades tecnológicas, viabilizar a evolução da arquitetura tecnológica da gestão de rede com foco em melhorar os seus processos,  a capacidade de configurar novas redes em sinergia com os desafios relativos demanda por produtos cada vez mais customizados, e apoio nas ações relacionadas ao controle de despesas assistenciais da companhia.";KR1.1 Garantir 100% de conformidade nas demandas regulatórias publicadas até dez/25;Ciclo 2025;1;;;"OKR cancelado. Não foram priorizados OKRs táticos na PI#7 e PI#8, e não tem nada formalmente priorizado em relação a esse KR para a PI#9.";Medição ao final do 4º trim;Não;VS_REFERENCIADO;;0.0;Saúde;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-50678;629160;OKR1.2.1.2 Tornar a experiência dos usuários com nossos produtos e sistemas de comercialização mais fluída e satisfatória.;FINALIZADO;PI#7SI;;;0.0;1;1;O1.2.1 Tornar a experiência dos usuários com nossos produtos e sistemas de comercialização mais fluída e satisfatória.;KR 1.2.1.2 Implementar jornada de subscrição de risco no Movimentação Expressa até março/2025.;Ciclo 2025;1;Atingiu a Meta;SAU VSCM - Movimentação Expressa SPG;;Medição ao final do 2º trim;Não;VS_COMERCIALIZAÇÃO;;100.0;Saúde;;;;;;;;;;;;;;;;;;;;;SSAUVSCM00-17251;SGTIJIRA01-50675;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-50677;629159;OKR1.2.1.1 Tornar a experiência dos usuários com nossos produtos e sistemas de comercialização mais fluída e satisfatória.;FINALIZADO;PI#7SI;;;0.0;1;1;O1.2.1 Tornar a experiência dos usuários com nossos produtos e sistemas de comercialização mais fluída e satisfatória.;"KR 1.2.1.1 Disponibilizar 1 novo produto regional na prateleira do Gôndola Saúde, até maio/2025";Ciclo 2025;4;Atingiu a Meta;SAU VSCM - RunBU Comercialização;;Medição ao final do 2º trim;Não;VS_COMERCIALIZAÇÃO;;100.0;Saúde;;;;;;;;;;;;;;;;;;;;;SSAUVSCM00-22919;SGTIJIRA01-50675;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-50675;629155;"OKR1.2 Consolidar a liderança da companhia no setor de assistência à saúde, promovendo iniciativas que elevem a satisfação dos clientes e parceiros de negócios, além de aumentar a retenção de clientes por meio da oferta de produtos competitivos.";Em Progresso;PI#7SI;PI#8SI;PI#9SI;0.0;7;3;"O1 Consolidar a liderança da companhia no setor de assistência à saúde, promovendo iniciativas que elevem a satisfação dos clientes e parceiros de negócios, além de aumentar a retenção de clientes por meio da oferta de produtos competitivos, jornadas inovadoras, intuitivas e personalizadas, otimização da subscrição de risco e soluções sistêmicas para comercialização e movimentação.";"KR1.2 Garantir a entrega de 7 itens, distribuídos em jornadas, regulatórios e soluções sistêmicas para produtos que contribuam para a manutenção sustentável de vidas seguradas até dez/25";Ciclo 2025;1;;"SAU VSCM - RunBU Comercialização
SAU VSCM - Movimentação Expressa SPG";;Medição ao final do 4º trim;Não;VS_COMERCIALIZAÇÃO;;43.0;Saúde;SGTIJIRA01-50677;SGTIJIRA01-50678;SGTIJIRA01-51487;SGTIJIRA01-51488;SGTIJIRA01-51489;SGTIJIRA01-51486;SGTIJIRA01-58307;SGTIJIRA01-58304;SGTIJIRA01-58305;SGTIJIRA01-58306;;;;;;;;;;;SGTIJIRA01-51490;;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-50673;629153;"OKR1.1.1.2 Aprimorar as rotinas já existentes jornadas de cotação, implantação e movimentação de vidas, tornando-as mais aderentes às expectativas dos corretores e contratantes e times operacionais";FINALIZADO;PI#7SI;;;0.0;3;3;"O1.1.1 Aprimorar as rotinas já existentes jornadas de cotação, implantação e movimentação de vidas, tornando-as mais aderentes às expectativas dos corretores e contratantes e times operacionais";KR 1.1.1.2 Melhorar 3 processos de movimentação ligados à fase de Resolução de Pendências;Ciclo 2025;5;Atingiu a Meta;SAU VSCM - Movimentação Expressa SPG;;Medição ao final do 2º trim;Não;VS_COMERCIALIZAÇÃO;;100.0;Saúde;;;;;;;;;;;;;;;;;;;;;SSAUVSCM00-22938;SGTIJIRA01-50671;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-50672;629152;"OKR1.1.1.1 Aprimorar as rotinas já existentes jornadas de cotação, implantação e movimentação de vidas, tornando-as mais aderentes às expectativas dos corretores e contratantes e times operacionais";FINALIZADO;PI#7SI;;;0.0;17;16;"O1.1.1 Aprimorar as rotinas já existentes jornadas de cotação, implantação e movimentação de vidas, tornando-as mais aderentes às expectativas dos corretores e contratantes e times operacionais";KR 1.1.1.1 Implementar 17 demandas que possibilitem melhor condução dos corretores e equipes internas nas etapas de cotação/análise dos sistemas de Emissão (SPG e Empresarial) e Movimentação.;Ciclo 2025;5;Atingiu Parcialmente a Meta;"SAU VSCM - RunBU Comercialização
SAU VSCM - Implantação SPG
SAU VSCM - Emissão Empresarial
SAU VSCM - Movimentação Expressa SPG
";;Medição ao final do 2º trim;Não;VS_COMERCIALIZAÇÃO;;94.0;Saúde;;;;;;;;;;;;;;;;;;;;;SSAUVSCM00-22546;SSAUVSCM00-22653;SSAUVSCM00-22662;SSAUVSCM00-22651;SSAUVSCM00-20848;SSAUVSCM00-22749;SSAUVSCM00-22747;SSAUVSCM00-22748;SSAUVSCM00-21055;SSAUVSCM00-22933;SSAUVSCM00-22655;SSAUVSCM00-22750;SSAUVSCM00-22530;SSAUVSCM00-20739;SSAUVSCM00-22639;SSAUVSCM00-19271;SSAUVSCM00-22640;SGTIJIRA01-50671;;;;;;;;;
SGTIJIRA01-50671;629151;"OKR1.1 Consolidar a liderança da companhia no setor de assistência à saúde, promovendo iniciativas que elevem a satisfação dos clientes e parceiros de negócios, além de aumentar a retenção de clientes por meio da oferta de produtos competitivos.";Em Progresso;PI#7SI;PI#8SI;PI#9SI;0.0;100;0;"O1 Consolidar a liderança da companhia no setor de assistência à saúde, promovendo iniciativas que elevem a satisfação dos clientes e parceiros de negócios, além de aumentar a retenção de clientes por meio da oferta de produtos competitivos, jornadas inovadoras, intuitivas e personalizadas, otimização da subscrição de risco e soluções sistêmicas para comercialização e movimentação.";"KR1.1 Aumentar em 10 pontos o NPS e/ou pesquisa dos corretores (rede e mercado), contratantes e equipe operacional até dez/25.";Ciclo 2025;1;;"SAU VSCM - RunBU Comercialização
SAU VSCM - Implantação SPG
SAU VSCM - Emissão Empresarial
SAU VSCM - Movimentação Expressa SPG
";;Medição ao final do 4º trim;Não;VS_COMERCIALIZAÇÃO;;0.0;Saúde;SGTIJIRA01-50672;SGTIJIRA01-50673;SGTIJIRA01-51482;SGTIJIRA01-51485;SGTIJIRA01-58301;SGTIJIRA01-58303;SGTIJIRA01-58300;SGTIJIRA01-58302;;;;;;;;;;;;;SGTIJIRA01-51483;SGTIJIRA01-51484;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-50670;629116;OKR1.4.1.2 Fidelizar a carteira SPG até 30 vidas através de novas jornadas digitais e proporcionando a renegociação de valores contratuais;FINALIZADO;PI#7SI;;;0.0;100;100;O1.4.1 Fidelizar a carteira SPG até 30 vidas através de novas jornadas digitais e proporcionando a renegociação de valores contratuais;"KR 1.4.1.2 Implementar 100% das demandas que viabilizam a negociação de custo em contratos até 30 vidas, através do projeto de Re-contratualização";Ciclo 2025;4;Atingiu a Meta;SAU VSGA - Gestão ADM SISA;;Medição ao final do 2º trim;Não;VS_GA;;100.0;Saúde;;;;;;;;;;;;;;;;;;;;;SSAUVSGA00-29307;SGTIJIRA01-50668;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-50669;629115;OKR1.4.1.1 Fidelizar a carteira SPG até 30 vidas através de novas jornadas digitais e proporcionando a renegociação de valores contratuais;FINALIZADO;PI#7SI;;;0.0;2;2;O1.4.1 Fidelizar a carteira SPG até 30 vidas através de novas jornadas digitais e proporcionando a renegociação de valores contratuais;"KR 1.4.1.1 Implementar 2 novos serviços que permitam aos contratantes SPG em apólices até 2 titulares, baixarem os boletos de pagamento no APP da Bradesco Saúde, reduzindo as ligações na Central de Relacionamento";Ciclo 2025;5;Atingiu a Meta;"SAU VSGA - Habilitador Serviços
SAU VSGA - Gestão ADM SISA";;Medição ao final do 2º trim;Não;VS_GA;;100.0;Saúde;;;;;;;;;;;;;;;;;;;;;SSAUVSGA00-30091;SSAUVSGA00-25066;SGTIJIRA01-50668;;;;;;;;;;;;;;;;;;;;;;;;
